week,Year,Market.Share,Av.Price.per.kg,Non-Promo Price.per.kg,Promo.Vol.Share,Total.Weigh,Share.of.Ean.Weigh,Avg price.vs.PLB,Non.promo.price.vs.PLB,Promo.vol.sh.index.vs.PLB,Total.cm.shelf,Shelf.share,Top.of.mind,Spontaneous,Aided,Penetration,Competitor,GRP.radio,Reach.radio,GRP.TV,Reach.TV,Reach.cinema,GRP.outdoor,GRP.print,Share.of.spend
19,2010,38.4,7.61,7.77,26.87,84,19.28,2.01,2.2,2.02,754253,0.25,,,,,,,,,,,,,
20,2010,36.8,7.6,7.8,29.42,84,18.9,2,2.19,1.59,752248.7,0.25,,,,,,,,,,,,,
21,2010,35.21,7.63,7.85,27.27,82,19.11,2.07,2.23,1.03,750244.4,0.25,,,,,,,,,,,,,
22,2010,35.03,7.22,7.76,52.48,88,18.67,1.9,2.12,1.04,748240.1,0.25,,,,,,,,,,,,,
23,2010,32.37,7.7,7.78,16.11,82,18.61,2.18,2.15,0.66,746235.8,0.25,,,,,,,,,,,,,
24,2010,29.67,7.74,7.77,11.6,83,18.74,2.41,2.19,0.35,744231.5,0.25,,,,,,,,,,,,,
25,2010,32.67,7.75,7.77,9.13,81,18.83,2.26,2.19,0.62,742227.2,0.25,,,,,,,,,,,,,
26,2010,40.11,7.44,7.68,39.4,83,19.03,1.94,2.08,2.78,740222.9,0.25,,,,,,,,,,,,,
27,2010,38.93,7.45,7.7,51.6,83,18.67,2,2.16,4.37,738218.6,0.25,,,,,,,,,,,,,
28,2010,32.4,7.64,7.79,32.59,85,18.61,2.49,2.26,0.85,736214.3,0.25,,,,,,,,,,,,,
29,2010,36.17,7.65,7.84,31.88,83,19.9,2.26,2.38,1.4,734210,0.25,,,,,,,,,,,,,
30,2010,36.65,7.56,7.71,29.59,83,20.12,2.13,2.17,1.4,732205.7,0.25,,,,,,,,,,,,,
31,2010,34.08,7.58,7.7,18.77,85,20.71,2.29,2.15,0.6,730201.4,0.25,,,,,,,,,,,,,
32,2010,36.15,7.48,7.67,39.21,85,20.9,2.1,2.1,1.7,728197.1,0.25,,,,,,,,,,,,,
33,2010,34.95,7.61,7.64,13.56,83,20.56,2.14,2.03,0.69,726192.8,0.25,,,,,,,,,,,,,
34,2010,34.77,7.53,7.65,30.71,85,20.28,2.19,2.15,0.92,724188.5,0.25,,,,,,,,,,,,,
35,2010,39.63,7.45,7.61,45.24,85,19.66,2.12,2.09,1.93,722184.2,0.25,,,,,,,,,,,,,
36,2010,40.52,7.41,7.66,57.29,86,19.26,2,2.14,2.84,720179.9,0.25,,,,,,,,,,,,,
37,2010,35.58,7.56,7.69,33,86,18.91,2.09,2.15,1.54,718175.6,0.25,,,,,,,,,,,,,
38,2010,32.21,7.65,7.68,13.19,86,18.6,2.25,2.14,0.36,716171.3,0.25,,,,,,,,,,,,,
39,2010,30.48,7.62,7.67,16.89,86,18.52,2.26,2.13,0.39,714167,0.25,,,,,,,,,,,,,
40,2010,39.23,7.32,7.65,56.12,87,18.52,1.99,2.02,1.62,714167,0.25,,,,,,,,,,,,,
41,2010,34.81,7.55,7.74,36.8,86,18.45,2.09,2.1,1.62,714167,0.25,,,,,,,,,,,,,
42,2010,30.39,7.6,7.73,23.41,86,18.08,2.43,2.06,0.55,714167,0.25,,,,,,,,,,,,,
43,2010,37.26,7.32,7.71,39.13,86,18.06,1.9,2.12,1.59,712162.7,0.25,,,,,,,,,,,,,
44,2010,39.29,7.34,7.65,40.88,86,18.16,1.94,2.16,2.48,710158.4,0.25,,,,,,,,,,,,,
45,2010,39.2,7.24,7.69,57.43,87,17.8,1.93,2.14,1.91,708154.1,0.25,,,,,,,,,,,,,
46,2010,33.1,7.51,7.64,29.58,86,17.84,2.19,2.04,0.98,706149.8,0.25,,,,,,,,,,,,,
47,2010,34.82,7.58,7.6,7.98,86,18.72,2.13,2,0.35,704145.5,0.25,,,,,,,,,,,,,
48,2010,36.26,7.42,7.62,28.77,87,19.21,1.91,2.03,1.6,702141.2,0.24,,,,,,,,,,,,,
49,2010,32.82,7.4,7.47,18.08,89,19.28,2.23,1.88,0.39,700136.9,0.24,,,,,,,,,,,,,
50,2010,37.37,7.35,7.43,24.16,88,19.64,2.02,1.83,0.7,698132.6,0.24,,,,,,,,,,,,,
51,2010,41.05,7.26,7.4,43.93,88,19.54,1.85,1.29,0.63,696128.3,0.24,,,,,,,,,,,,,
52,2010,36.42,7.35,7.5,37.98,86,19.42,2.11,1.99,1.02,694124,0.24,48.1,77.9,98.1,0,,,,,,,,,
1,2011,33.35,7.5,7.61,16.11,84,19.17,2.02,1.99,0.81,692119.7,0.24,48.1,77.9,98.1,0,,,,,,6.8,,,79.18540241
2,2011,30.94,7.48,7.6,15.52,84,18.72,2.2,1.94,0.39,690115.4,0.24,48.1,77.9,98.1,0,,,,,,6.8,,,100
3,2011,36,7.38,7.6,29.49,86,18.56,1.99,2.05,1.26,688111.1,0.24,48.1,77.9,98.1,0,,107.3,47.6,,,6.8,,,100
4,2011,34.41,7.46,7.56,17.6,86,18.29,2.04,2.08,0.49,686106.8,0.24,48.1,77.9,98.1,0,,,,137.7,51,6.8,,,99.01585855
5,2011,34.25,7.46,7.52,18.22,88,18.16,2.16,2.01,0.45,684102.5,0.24,48.1,77.9,98.1,0,,,,136.6,51.6,6.8,,,77.3767279
6,2011,38.34,7.42,7.48,23.71,88,18.27,1.98,1.95,0.74,682098.2,0.24,53.8,83.5,98.6,0,,,,134.5,52.2,6.8,,,52.46830298
7,2011,37.72,7.49,7.49,12.24,87,18.04,2.02,1.94,0.61,680093.9,0.24,53.8,83.5,98.6,0,,,,,,6.8,,,6.106832823
8,2011,36.05,7.51,7.52,6.1,87,17.69,2.06,1.93,0.35,678089.6,0.24,53.8,83.5,98.6,0,,,,,,6.8,,,5.845824102
9,2011,30.56,7.48,7.49,8.35,88,17.64,2.27,1.85,0.21,676085.3,0.24,53.8,83.5,98.6,0,,,,,,6.8,,,20.10757137
10,2011,34.6,7.49,7.52,16.51,87,17.8,2.14,1.98,0.61,674081,0.24,43.8,68.6,95.7,70,,,,,,6.8,,,100
11,2011,36.1,7.51,7.61,28.67,86,18.86,2.04,2.02,1.41,674081,0.24,43.8,68.6,95.7,70,,,,101.6,45.2,6.8,,,66.69654863
12,2011,39.05,7.34,7.69,49.13,87,19.39,1.88,2.08,2.12,674081,0.24,43.8,68.6,95.7,70,0,,,94.4,46.9,6.8,,,63.88618465
13,2011,37.52,7.37,7.67,43.77,86,19.29,1.87,2.03,2.56,674081,0.24,43.8,68.6,95.7,70,0.2,,,106.3,46.4,6.8,,,79.06459614
14,2011,33.8,7.39,7.55,34.47,88,18.41,2.23,1.19,0.45,674081,0.24,53,78.7,98,71.8,0.2,,,,,6.8,,,92.59014751
15,2011,35.4,7.35,7.55,38.68,86,17.96,1.95,1.49,0.75,672102.04,0.24,53,78.7,98,71.8,0.4,,,,,6.8,,,13.35845075
16,2011,35.29,7.37,7.54,27.97,85,17.65,1.91,2.03,1.94,670123.08,0.24,53,78.7,98,71.8,0.5,,,,,6.8,,,8.708819304
17,2011,31.06,7.41,7.52,24.22,86,17.22,2.15,1.94,0.69,668144.13,0.24,53,78.7,98,71.8,0.6,,,,,6.8,,,5.088483378
18,2011,33.39,7.39,7.47,21.66,87,16.7,1.94,1.84,0.9,666165.17,0.24,46.5,75.8,97,68.2,0.8,,,,,6.8,,,7.370838025
19,2011,34.05,7.37,7.48,26.57,87,16.58,1.84,1.93,1.59,664186.21,0.24,46.5,75.8,97,68.2,1.4,,,,,,,,0.310037514
20,2011,33.76,7.34,7.44,20.16,86,16.45,1.77,1.87,1.28,662207.25,0.24,46.5,75.8,97,68.2,1.1,,,,,,,,0
21,2011,33.68,7.38,7.47,23.46,85,16.41,1.85,1.95,1.13,660228.29,0.24,46.5,75.8,97,68.2,1.1,,,,,,,,0
22,2011,33.11,7.2,7.34,35.63,86,16.47,2.04,1.78,1.07,658249.33,0.23,46.5,75.8,97,68.2,0.9,,,,,,,,0
23,2011,34.46,7.28,7.33,23.55,86,16.42,1.83,1.75,1.16,656270.38,0.23,47.8,79.9,99,73.7,1.2,,,,,,,,0
24,2011,33.4,7.37,7.39,9.46,85,16.38,1.95,1.81,0.43,654291.42,0.23,47.8,79.9,99,73.7,1.2,,,,,,,,0
25,2011,34.2,7.35,7.38,13.64,85,16.37,1.89,1.81,0.72,652312.46,0.23,47.8,79.9,99,73.7,1.2,,,,,,,,0
26,2011,32.16,7.33,7.34,11.02,87,16.43,2.03,1.75,0.27,650333.5,0.23,47.8,79.9,99,73.7,1,,,9.3,8,,,3.3,100
27,2011,34.32,7.33,7.36,11.84,86,16.25,1.86,1.75,0.5,648354.54,0.23,47.3,79.2,100,72.5,1.2,,,17.2,11.7,,,6.6,100
28,2011,34.01,7.36,7.4,13.59,85,16.48,1.86,1.87,1.06,646375.58,0.23,47.3,79.2,100,72.5,1.2,,,57.2,24.5,,,6.6,100
29,2011,32.71,7.31,7.42,22.39,84,17.71,1.93,1.81,0.93,644396.63,0.23,47.3,79.2,100,72.5,1.2,,,98.1,42.8,,,,100
30,2011,36.19,7.28,7.41,30.48,84,18.23,1.7,1.78,2.47,642417.67,0.23,47.3,79.2,100,72.5,1.2,,,116.4,44.3,,,6.6,100
31,2011,35.72,7.16,7.37,37.73,85,18.47,1.76,1.73,1.41,640438.71,0.23,55,79.6,99.5,76.8,1.2,,,110.4,44.6,,,3.3,100
32,2011,35.29,7.14,7.38,33.66,85,18.3,1.76,1.73,1.19,638459.75,0.23,55,79.6,99.5,76.8,1.3,,,49.4,24.7,,,3.3,100
33,2011,34.39,7.24,7.37,24.82,83,18.31,1.77,1.74,1.31,636480.79,0.22,55,79.6,99.5,76.8,1.3,,,4.7,3.5,,,,0
34,2011,34.72,7.29,7.33,10.83,85,18.15,1.74,1.7,0.56,634501.83,0.22,55,79.6,99.5,76.8,1.9,,,1.9,1.9,,,,0
35,2011,35.34,7.27,7.32,28.52,87,18.25,1.67,1.74,0.95,632522.88,0.22,55,79.6,99.5,76.8,1.5,,,104.4,47,,,,0.552481101
36,2011,35.62,7.32,7.36,24.19,87,18.07,1.84,1.81,0.74,630543.92,0.22,50.9,79,98.6,73.8,1.5,,,91.1,46.3,,,,51.05005925
37,2011,34.56,7.34,7.38,17.54,85,17.81,1.82,1.83,0.66,628564.96,0.22,50.9,79,98.6,73.8,1.7,,,123.4,53.3,,,,100
38,2011,34.39,7.34,7.37,11.17,85,17.74,1.85,1.83,0.48,626586,0.22,50.9,79,98.6,73.8,1.8,,,,,,,22.4,100
39,2011,35.19,7.21,7.42,25.07,86,17.4,1.8,1.94,1.36,626586,0.22,50.9,79,98.6,73.8,2.1,,,,,,,13.6,7.762515814
40,2011,30.98,7.2,7.43,26.13,86,17.52,2.13,1.91,0.6,626586,0.22,42.2,75.2,98.6,72,1.6,,,,,,,25.6,11.58619251
41,2011,38.91,6.98,7.43,38.06,86,17.87,1.72,1.92,1.4,626586,0.22,42.2,75.2,98.6,72,1.6,,,,,,,13.6,4.698482155
42,2011,36.79,7.14,7.35,28.59,84,17.98,1.73,1.82,1.71,626586,0.22,42.2,75.2,98.6,72,1.7,,,,,,,22.4,20.80325409
43,2011,33.53,7.24,7.38,33.65,84,17.48,1.89,1.89,1.54,625853.8,0.22,42.2,75.2,98.6,72,1.8,,,,,,,13.6,71.10338548
44,2011,33.58,7.31,7.45,26.57,84,17.08,1.84,1.96,1.46,625121.6,0.22,42.2,75.2,98.6,72,1.8,,,101.9,48.6,,,46.4,75.86111603
45,2011,34.39,7.3,7.42,29.34,84,17.07,1.93,1.21,0.43,624389.4,0.22,50.2,75.6,96.8,72.4,1.8,,,108.7,53.6,,,16.9,100
46,2011,31.75,7.37,7.46,18.52,83,16.82,2.03,2.04,1.17,623657.2,0.22,50.2,75.6,96.8,72.4,2,,,88.4,45.7,,,9.4,52.48592891
47,2011,32.27,7.39,7.4,12.98,82,16.81,2.06,1.96,0.71,622925,0.22,50.2,75.6,96.8,72.4,2,,,,,,,9.4,0
48,2011,32.8,7.38,7.38,7.12,84,17.37,2.01,1.91,0.39,622192.8,0.22,50.2,75.6,96.8,72.4,2.1,,,,,,1127,,2.854971315
49,2011,31.78,7.33,7.47,32.68,86,17.73,2.26,1.96,0.75,621460.6,0.22,43.9,76.4,97.2,68.9,1.9,,,106.3,42.9,,,,64.69570535
