week,Year,Market.Share,Av.Price.per.kg,Non-Promo Price.per.kg,Promo.Vol.Share,Total.Weigh,Share.of.Ean.Weigh,Avg price.vs.PLB,Non.promo.price.vs.PLB,Promo.vol.sh.index.vs.PLB,Total.cm.shelf,Shelf.share,Top.of.mind,Spontaneous,Aided,Penetration,Competitor,GRP.radio,Reach.radio,GRP.TV,Reach.TV,Reach.cinema,GRP.outdoor,GRP.print,Share.of.spend
50,2011,34.64,7.31,7.46,35.1,86,18.26,2.05,1.94,1.2,620728.4,0.22,43.9,76.4,97.2,68.9,2.4,,,99.6,42.6,,,,41.5721282
51,2011,36.62,7.27,7.4,34.66,88,18.27,1.91,1.88,1.11,619996.2,0.22,43.9,76.4,97.2,68.9,2.9,,,117.5,45.3,,,,25.45042207
52,2011,34.35,7.31,7.45,32.25,85,18.28,2,2.03,1.19,619264,0.22,43.9,76.4,97.2,68.9,3.3,,,,,,,,0
1,2012,31.24,7.36,7.4,17.62,84,18.04,2.05,1.95,0.87,618531.8,0.22,50.9,77.3,98.6,67.6,2.8,,,,,,,,0
2,2012,29.96,7.35,7.37,11.89,87,17.81,2.3,1.87,0.31,617799.6,0.22,50.9,77.3,98.6,67.6,2.7,,,,,,,,0
3,2012,32.23,7.33,7.38,15.59,86,18.04,1.86,1.88,0.61,617067.4,0.22,50.9,77.3,98.6,67.6,2.7,,,,,,,,0
4,2012,32.14,7.31,7.4,21.22,85,17.59,1.98,2.06,0.66,616335.2,0.21,50.9,77.3,98.6,67.6,2.8,,,96.311,47.064,,,,76.05091251
5,2012,29.12,7.32,7.4,18.59,87,17.21,2.28,2.01,0.32,615603,0.21,50.9,77.3,98.6,67.6,2.6,,,109.95,46.808,,,,99.37796015
6,2012,32.73,7.31,7.37,15.53,85,16.92,2.1,2.04,0.42,614870.8,0.21,52.4,83,96.7,67,3,,,127.752,50.591,,,,79.86103303
7,2012,32.78,7.37,7.43,10.22,84,16.88,2.1,1.98,0.42,614138.6,0.21,52.4,83,96.7,67,3.1,,,84.29,43.214,,,,99.33729275
8,2012,31.85,7.41,7.44,14.14,83,16.51,2.17,1.16,0.19,613406.4,0.21,52.4,83,96.7,67,2.8,,,,,,,,0
9,2012,29.73,7.37,7.37,19.11,84,16.27,2.3,1.92,0.55,612674.2,0.21,52.4,83,96.7,67,2.6,,,,,,,,0
10,2012,31.92,7.33,7.42,17.6,83,16.26,2.08,1.99,0.75,611942,0.21,54.5,81.7,99.1,72.8,2.8,,,,,,,,0
11,2012,30.98,7.43,7.44,15.52,83,16.18,2.13,1.16,0.22,611942,0.21,54.5,81.7,99.1,72.8,2.8,,,,,,,,0
12,2012,32.01,7.42,7.43,9.43,84,16.32,2.13,1.96,0.39,611942,0.21,54.5,81.7,99.1,72.8,2.9,,,,,,,,0
13,2012,30.55,7.51,7.56,15.26,85,17.06,2.5,2.09,0.3,611942,0.21,54.5,81.7,99.1,72.8,2.8,,,41.108,21.758,,,,89.3284426
14,2012,32.77,7.52,7.62,26.87,86,17.59,2.46,1.82,0.44,611942,0.21,60.4,83.4,98.2,74.7,2.9,,,69.834,37.51,,,,100
15,2012,32.45,7.54,7.61,22.49,84,17.55,2.51,2.07,0.45,611147.9,0.21,60.4,83.4,98.2,74.7,3,,,108.198,45.184,,,,100
16,2012,32.51,7.46,7.46,10.46,85,17.54,2.41,2.05,0.27,610353.8,0.21,60.4,83.4,98.2,74.7,2.7,,,109.677,43.68,,,,100
17,2012,34.68,7.54,7.57,16.5,85,17.26,2.43,2.25,0.61,609559.7,0.21,60.4,83.4,98.2,74.7,3.4,,,77.292,28.5,,,6,44.15800173
18,2012,35.73,7.57,7.6,31.52,86,16.78,2.51,2.47,1.74,608765.6,0.21,55.5,83.9,97.2,68.7,3.7,,,42.807,20.862,,,12.7,15.07070878
19,2012,34.11,7.55,7.59,29.02,87,16.49,2.57,2.47,1.14,607971.5,0.21,55.5,83.9,97.2,68.7,3.9,,,,,,,,0
20,2012,33.52,7.59,7.6,15.63,85,16.08,2.46,2.45,0.97,607177.4,0.21,55.5,83.9,97.2,68.7,3.7,,,,,,,,0
21,2012,31.43,7.63,7.7,23.1,83,16.5,2.5,2.55,1.13,606383.3,0.21,55.5,83.9,97.2,68.7,3.7,,,0.602,0.602,,,,0.354371168
22,2012,31.12,7.59,7.68,28.98,83,17.08,2.36,2.47,1.26,605589.2,0.21,55.5,83.9,97.2,68.7,3.2,,,45.451,20.382,,,,68.64736941
23,2012,32.81,7.55,7.58,17.06,84,17.66,2.53,2.48,0.74,604795.1,0.21,55,81.5,98.2,68.9,3.1,,,88.128,40.245,,,,100
24,2012,32.5,7.62,7.63,14.26,84,17.74,2.61,2.56,0.83,604001,0.21,55,81.5,98.2,68.9,3.9,333.41,63.4,83.192,37.382,,,,57.36115354
25,2012,33.01,7.61,7.61,13.69,85,17.53,2.58,2.55,0.91,603206.9,0.21,55,81.5,98.2,68.9,3.3,344.29,63.86,108.444,46.932,,,,78.25320069
26,2012,29.22,7.58,7.58,6.68,85,17.15,2.77,2.49,0.22,602412.8,0.21,55,81.5,98.2,68.9,3,253.02,60.13,,,,,56.5,75.16625322
27,2012,30.76,7.57,7.57,3.52,84,16.88,2.63,2.5,0.16,601618.7,0.21,46.4,74.6,97.1,66.5,3.2,,,,,,,,0
28,2012,31.59,7.55,7.63,19.3,83,17.58,2.56,2.58,1.07,600824.6,0.21,46.4,74.6,97.1,66.5,3.2,,,,,,,,0
29,2012,33.71,7.56,7.7,30.41,83,17.8,2.56,2.64,1.95,600030.5,0.21,46.4,74.6,97.1,66.5,3.1,,,,,,,,0
30,2012,31.89,7.54,7.67,24.98,83,18.94,2.52,2.61,1.71,599236.4,0.21,46.4,74.6,97.1,66.5,3.4,,,,,,,,0
31,2012,34.8,7.44,7.6,38.29,86,18.95,2.44,2.52,1.48,598442.3,0.21,46.4,74.6,97.1,66.5,3.2,277.21,58.61,,,,,,100
32,2012,34.53,7.38,7.64,37.85,85,18.9,2.35,2.54,1.62,597648.2,0.21,50.7,79.9,99.5,69.9,3.3,272.26,59.33,,,,,,100
33,2012,31.95,7.47,7.66,29.65,84,18.67,2.47,2.57,1.03,596854.1,0.21,50.7,79.9,99.5,69.9,3.4,274.44,59.04,,,,,,100
34,2012,32.37,7.54,7.61,20.26,85,18.08,2.57,2.55,0.93,596060,0.21,50.7,79.9,99.5,69.9,3.4,,,,,,,,0
35,2012,31.6,7.44,7.64,35.38,87,17.22,2.64,2.52,1.07,596060,0.21,50.7,79.9,99.5,69.9,3.3,,,,,,,,0
36,2012,32.97,7.45,7.72,47.79,86,16.85,2.5,2.68,1.42,596060,0.21,50.5,71.6,98.1,73.1,3.3,,,,,,,,0
37,2012,32.5,7.45,7.71,46.89,84,16.62,2.44,2.69,1.88,596060,0.21,50.5,71.6,98.1,73.1,3.6,,,,,,,,0
38,2012,30.66,7.56,7.59,15,84,16.85,2.49,2.49,1.08,596060,0.21,50.5,71.6,98.1,73.1,3.8,,,,,,,,0
39,2012,33.97,7.35,7.58,22.68,84,17.39,2.26,2.45,1.98,596083.4,0.21,50.5,71.6,98.1,73.1,3.6,,,,,,,16.7,6.796590977
40,2012,36.31,7.21,7.58,30.48,86,18,2.15,2.02,0.48,596106.8,0.21,52.4,73.8,98.1,67.1,3.5,,,,,,,,0
41,2012,33.66,7.25,7.58,27.9,89,18.32,2.18,2.43,1.59,596130.2,0.2,52.4,73.8,98.1,67.1,3.7,,,75.723,24.295,,,,100
42,2012,31.54,7.41,7.6,22.38,86,17.55,2.41,2.47,1.1,596153.6,0.2,52.4,73.8,98.1,67.1,3.3,,,101.145,46.354,,,,100
43,2012,28.57,7.5,7.66,23.12,86,17.27,2.58,2.57,0.79,596177,0.2,52.4,73.8,98.1,67.1,3.2,409.97,62.78,133.042,53.502,,,,98.91782273
44,2012,29.37,7.48,7.63,35.91,86,17.19,2.69,2.55,1.05,596200.4,0.2,52.4,73.8,98.1,67.1,3.2,366.26,61.55,,,,,,39.87334077
45,2012,30.98,7.48,7.52,13.02,86,17.01,2.54,2.48,0.66,596223.8,0.2,50.5,78.5,97.7,65.4,3.7,,,,,,,,0
46,2012,30.02,7.55,7.59,11.47,85,17.01,2.62,2.58,0.75,596247.2,0.2,50.5,78.5,97.7,65.4,4,,,,,,,,0
47,2012,33,7.52,7.58,22.93,85,16.95,2.71,2.66,1.13,596270.6,0.2,50.5,78.5,97.7,65.4,3.8,,,45.58,23.392,,,,70.72241851
48,2012,32.67,7.54,7.58,16.27,87,16.59,2.74,2.58,0.68,596294,0.2,50.5,78.5,97.7,65.4,4.3,,,78.596,43.27,,,,64.24932441
49,2012,32.61,7.51,7.73,46.66,88,16.49,2.82,2.79,1.27,596317.4,0.2,50.5,78.2,97.7,69.9,4.6,,,112.559,50.071,,,3.1,53.94259956
50,2012,32.06,7.56,7.71,37.11,87,16.31,2.83,2.88,1.28,596340.8,0.2,50.5,78.2,97.7,69.9,4.3,,,,,,,,0
51,2012,33.32,7.54,7.68,37.13,89,15.81,2.62,2.71,1.2,596364.2,0.2,50.5,78.2,97.7,69.9,5.5,165.32,42.26,,,,,,13.89828053
52,2012,31.82,7.56,7.69,33.21,86,16.04,2.67,2.75,1.22,596387.6,0.2,50.5,78.2,97.7,69.9,5.5,272.2,48.01,,,,,,25.11741626
1,2013,29.55,7.57,7.58,4.26,86,16.09,2.56,2.49,0.14,596411,0.2,51.9,73.8,99,65.7,4.8,152.06,40.5,,,,,,70.8852797
2,2013,31,7.53,7.54,2.25,88,16,2.67,2.45,0.08,596434.4,0.2,51.9,73.8,99,65.7,4.7,,,67.5,26.1,,,,85.66905153
3,2013,33.74,7.52,7.52,14.26,88,16.1,2.6,2.35,0.54,596457.8,0.2,51.9,73.8,99,65.7,4.9,,,139.8,50.7,,,,86.64669715
4,2013,31.56,7.49,7.51,10.8,88,16.14,2.61,2.15,0.15,596481.2,0.2,51.9,73.8,99,65.7,4.7,,,106.1,44.9,,,,98.64546366
5,2013,31.25,7.48,7.51,13.5,88,16.26,2.7,2.49,0.23,596504.6,0.2,51.9,73.8,99,65.7,5.1,,,55.8,24.6,,,,71.67673716
6,2013,31.08,7.48,7.57,24.15,88,16.18,2.68,2.59,0.45,596528,0.2,50.5,77.5,99.5,71.2,5.4,,,,,,,,0
7,2013,31.96,7.49,7.56,18.78,88,16.41,2.74,2.57,0.48,596528,0.2,50.5,77.5,99.5,71.2,5.9,,,,,,,,0
8,2013,33.45,7.65,7.69,15.97,89,17.36,2.93,2.76,0.51,596528,0.2,50.5,77.5,99.5,71.2,6.1,388.82,63.45,,,,,,45.22282827
9,2013,34.57,7.64,7.67,13.18,90,17.57,2.96,2.84,0.53,596528,0.2,50.5,77.5,99.5,71.2,5.8,373.32,62.95,,,,,9.9,82.67947012
10,2013,32.03,7.65,7.69,24.85,90,17.51,3.1,2.87,0.63,596528,0.2,50.2,76,98.2,62.4,5.1,,,92.6,46.2,,,,97.45206701
11,2013,32.17,7.67,7.7,20.74,89,17.7,2.96,2.88,0.66,596551.4,0.2,50.2,76,98.2,62.4,5,,,82.5,43.3,,,,68.86155519
12,2013,33.81,7.65,7.74,26.81,89,17.73,2.83,2.98,0.89,596574.8,0.2,50.2,76,98.2,62.4,4.7,,,123.7,51.9,,,,84.54620066
13,2013,33,7.65,7.73,23.36,88,18.06,2.81,2.98,0.92,596598.2,0.2,50.2,76,98.2,62.4,4.7,,,,,,,,
14,2013,33.26,7.63,7.66,12.96,90,17.85,2.6,2.64,0.8,596621.6,0.2,50.2,83.7,99.5,71.6,4.6,,,,,,,,
15,2013,33.99,7.59,7.64,19.24,89,17.53,2.65,2.66,1.12,596645,0.2,50.2,83.7,99.5,71.6,4.7,,,,,,,,
16,2013,30.57,7.66,7.68,5.97,88,17.3,2.78,2.72,0.28,596668.4,0.2,50.2,83.7,99.5,71.6,4.6,,,,,,,,
17,2013,32.24,7.63,7.66,7.2,88,17.05,2.81,2.73,0.36,596691.8,0.2,50.2,83.7,99.5,71.6,4.7,,,,,,,,
18,2013,34.63,7.61,7.61,12.15,90,16.74,2.71,2.65,0.64,596715.2,0.2,50.2,83.7,99.5,71.6,5,,,,,,,,
